food_name,category,calories,ingredients,instructions
Oatmeal,Breakfast,150 kcal,"Oats, Water/Milk, Honey, Banana","1. Boil water/milk. 2. Add oats. 3. Cook for 5 min. 4. Add honey & banana."
Grilled Chicken Salad,Lunch,350 kcal,"Chicken breast, Lettuce, Tomato, Olive oil, Lemon","1. Grill chicken. 2. Chop veggies. 3. Mix with olive oil & lemon juice."
Avocado Toast,Snack,250 kcal,"Bread, Avocado, Salt, Pepper","1. Toast bread. 2. Mash avocado. 3. Spread on toast. 4. Add salt & pepper."
Greek Yogurt Parfait,Breakfast,180 kcal,"Greek yogurt, Granola, Berries, Honey","1. Layer yogurt, granola, and berries. 2. Drizzle with honey."
Quinoa Bowl,Lunch,320 kcal,"Quinoa, Chicken, Spinach, Feta, Olive oil","1. Cook quinoa. 2. Grill chicken. 3. Mix with spinach, feta, and olive oil."
Baked Salmon,Dinner,400 kcal,"Salmon, Lemon, Garlic, Olive oil, Herbs","1. Marinate salmon. 2. Bake at 375°F for 15-20 min."
Banana Smoothie,Snack,200 kcal,"Banana, Almond milk, Peanut butter, Honey","1. Blend banana, almond milk, peanut butter, and honey."
Vegetable Stir-Fry,Dinner,280 kcal,"Broccoli, Carrots, Bell peppers, Soy sauce, Tofu","1. Sauté veggies. 2. Add tofu and soy sauce. 3. Stir-fry for 5 min."
Chia Pudding,Breakfast,210 kcal,"Chia seeds, Almond milk, Honey, Berries","1. Mix chia seeds with almond milk and honey. 2. Refrigerate overnight. 3. Add berries before serving."
Egg White Omelet,Breakfast,160 kcal,"Egg whites, Spinach, Tomatoes, Cheese","1. Beat egg whites. 2. Cook with spinach and tomatoes. 3. Add cheese."
Lentil Soup,Lunch,230 kcal,"Lentils, Carrots, Celery, Onion, Garlic","1. Sauté onion & garlic. 2. Add lentils, carrots, and celery. 3. Simmer until soft."
Zucchini Noodles,Dinner,180 kcal,"Zucchini, Olive oil, Garlic, Parmesan cheese","1. Spiralize zucchini. 2. Sauté with garlic. 3. Top with parmesan cheese."
Grilled Tofu,Lunch,260 kcal,"Tofu, Soy sauce, Sesame oil, Garlic","1. Marinate tofu in soy sauce & garlic. 2. Grill until golden brown."
Stuffed Bell Peppers,Dinner,320 kcal,"Bell peppers, Brown rice, Ground turkey, Tomato sauce","1. Cook rice & turkey. 2. Stuff into bell peppers. 3. Bake at 375°F for 20 min."
Hummus & Veggies,Snack,150 kcal,"Chickpeas, Olive oil, Garlic, Carrot sticks, Cucumber","1. Blend chickpeas, garlic, and olive oil. 2. Serve with sliced veggies."
Baked Sweet Potato,Dinner,220 kcal,"Sweet potato, Olive oil, Cinnamon","1. Bake sweet potato at 375°F for 40 min. 2. Sprinkle with cinnamon."
Protein Shake,Snack,300 kcal,"Protein powder, Almond milk, Banana, Peanut butter","1. Blend all ingredients until smooth."
Spinach & Feta Wrap,Lunch,280 kcal,"Whole wheat wrap, Spinach, Feta, Egg","1. Scramble eggs. 2. Add spinach & feta. 3. Wrap in whole wheat tortilla."
Mango Chia Pudding,Breakfast,220 kcal,"Chia seeds, Coconut milk, Mango","1. Mix chia seeds with coconut milk. 2. Refrigerate overnight. 3. Top with mango."
Salmon & Asparagus,Dinner,370 kcal,"Salmon, Asparagus, Olive oil, Garlic","1. Roast salmon & asparagus with olive oil and garlic."
